X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-75.68119,45.40825,0,0,117,33,2017/05/06 13:43:56+00,,,,,,,,,,,,,,,,,,,,,
-75.6812,45.408157,0,0,118,33,2017/05/06 13:44:03+00,,,,,,,,,,,,,,,,,,,,,
-75.68122,45.408054,0,0,119,33,2017/05/06 13:44:11+00,,,,,,,,,,,,,,,,,,,,,
-75.68125,45.407967,0,0,120,33,2017/05/06 13:44:18+00,,,,,,,,,,,,,,,,,,,,,
-75.68124,45.40787,0,0,121,33,2017/05/06 13:44:27+00,,,,,,,,,,,,,,,,,,,,,
-75.68123,45.40767,0,0,122,32,2017/05/06 13:44:41+00,,,,,,,,,,,,,,,,,,,,,
-75.68125,45.407562,0,0,123,32,2017/05/06 13:44:49+00,,,,,,,,,,,,,,,,,,,,,
-75.68126,45.407467,0,0,124,32,2017/05/06 13:44:53+00,,,,,,,,,,,,,,,,,,,,,
-75.681244,45.40737,0,0,125,32,2017/05/06 13:44:58+00,,,,,,,,,,,,,,,,,,,,,
-75.68124,45.407276,0,0,126,33,2017/05/06 13:45:02+00,,,,,,,,,,,,,,,,,,,,,
-75.68124,45.407173,0,0,127,33,2017/05/06 13:45:07+00,,,,,,,,,,,,,,,,,,,,,
-75.6812,45.407085,0,0,128,33,2017/05/06 13:45:11+00,,,,,,,,,,,,,,,,,,,,,
-75.681175,45.406986,0,0,129,33,2017/05/06 13:45:15+00,,,,,,,,,,,,,,,,,,,,,
-75.68115,45.406883,0,0,130,33,2017/05/06 13:45:19+00,,,,,,,,,,,,,,,,,,,,,
-75.68113,45.406776,0,0,131,33,2017/05/06 13:45:24+00,,,,,,,,,,,,,,,,,,,,,
-75.68109,45.406673,0,0,132,33,2017/05/06 13:45:29+00,,,,,,,,,,,,,,,,,,,,,
-75.681046,45.406475,0,0,133,33,2017/05/06 13:45:37+00,,,,,,,,,,,,,,,,,,,,,
-75.681,45.40637,0,0,134,33,2017/05/06 13:45:42+00,,,,,,,,,,,,,,,,,,,,,
-75.68095,45.406162,0,0,135,33,2017/05/06 13:45:52+00,,,,,,,,,,,,,,,,,,,,,
-75.68092,45.40607,0,0,136,33,2017/05/06 13:45:56+00,,,,,,,,,,,,,,,,,,,,,
-75.68084,45.40587,0,0,137,32,2017/05/06 13:46:05+00,,,,,,,,,,,,,,,,,,,,,
-75.6808,45.405766,0,0,138,32,2017/05/06 13:46:10+00,,,,,,,,,,,,,,,,,,,,,
-75.68076,45.40565,0,0,139,33,2017/05/06 13:46:17+00,,,,,,,,,,,,,,,,,,,,,
-75.68073,45.40556,0,0,140,33,2017/05/06 13:46:21+00,,,,,,,,,,,,,,,,,,,,,
-75.68071,45.405468,0,0,141,33,2017/05/06 13:46:25+00,,,,,,,,,,,,,,,,,,,,,
-75.68068,45.405373,0,0,142,33,2017/05/06 13:46:30+00,,,,,,,,,,,,,,,,,,,,,
-75.68064,45.40528,0,0,143,33,2017/05/06 13:46:34+00,,,,,,,,,,,,,,,,,,,,,
-75.680595,45.40518,0,0,144,34,2017/05/06 13:46:38+00,,,,,,,,,,,,,,,,,,,,,
-75.68055,45.40508,0,0,145,33,2017/05/06 13:46:42+00,,,,,,,,,,,,,,,,,,,,,
-75.680504,45.40499,0,0,146,33,2017/05/06 13:46:46+00,,,,,,,,,,,,,,,,,,,,,
-75.68047,45.4049,0,0,147,33,2017/05/06 13:46:49+00,,,,,,,,,,,,,,,,,,,,,
-75.68044,45.404797,0,0,148,33,2017/05/06 13:46:53+00,,,,,,,,,,,,,,,,,,,,,
-75.68018,45.404705,0,0,149,33,2017/05/06 13:47:06+00,,,,,,,,,,,,,,,,,,,,,
-75.67993,45.404594,0,0,150,33,2017/05/06 13:47:15+00,,,,,,,,,,,,,,,,,,,,,
-75.67985,45.404396,0,0,151,34,2017/05/06 13:47:24+00,,,,,,,,,,,,,,,,,,,,,
-75.67982,45.404297,0,0,152,34,2017/05/06 13:47:29+00,,,,,,,,,,,,,,,,,,,,,
-75.67979,45.404198,0,0,153,34,2017/05/06 13:47:34+00,,,,,,,,,,,,,,,,,,,,,
-75.679756,45.404095,0,0,154,34,2017/05/06 13:47:40+00,,,,,,,,,,,,,,,,,,,,,
-75.67972,45.403996,0,0,155,33,2017/05/06 13:47:45+00,,,,,,,,,,,,,,,,,,,,,
-75.67966,45.403904,0,0,156,33,2017/05/06 13:47:50+00,,,,,,,,,,,,,,,,,,,,,
-75.67959,45.40382,0,0,157,33,2017/05/06 13:47:54+00,,,,,,,,,,,,,,,,,,,,,
-75.67953,45.403732,0,0,158,33,2017/05/06 13:47:58+00,,,,,,,,,,,,,,,,,,,,,
-75.679474,45.403637,0,0,159,32,2017/05/06 13:48:03+00,,,,,,,,,,,,,,,,,,,,,
-75.67941,45.403553,0,0,160,32,2017/05/06 13:48:07+00,,,,,,,,,,,,,,,,,,,,,
-75.67937,45.40346,0,0,161,32,2017/05/06 13:48:11+00,,,,,,,,,,,,,,,,,,,,,
-75.67925,45.403286,0,0,162,33,2017/05/06 13:48:20+00,,,,,,,,,,,,,,,,,,,,,
-75.67918,45.403084,0,0,163,33,2017/05/06 13:48:28+00,,,,,,,,,,,,,,,,,,,,,
-75.67912,45.402893,0,0,164,33,2017/05/06 13:48:37+00,,,,,,,,,,,,,,,,,,,,,
